AQ_104_Aug21_July22
Station Name,From,FT,To,TT,"PM10  (ug/m3)","PM2.5 (ug/m3)","AT ()","BP (mmHg)","SR (W/mt2)","RH (%)","WD (degree)","RF (mm)","NO (ug/m3)","NOx (ppb)","NO2 (ug/m3)","NH3 (ug/m3)","SO2 (ug/m3)","CO (mg/m3)","Ozone (ug/m3)","Benzene ()","Toluene ()","Xylene ()","MP-Xylene ()","Eth-Xylene ()"
"Burari Crossing, Delhi - IMD",02-Aug-2021,14:00,02-Aug-2021,15:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,15:00,02-Aug-2021,16:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,16:00,02-Aug-2021,17:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,17:00,02-Aug-2021,18:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,18:00,02-Aug-2021,19:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,19:00,02-Aug-2021,20:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,20:00,02-Aug-2021,21:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,21:00,02-Aug-2021,22:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,22:00,02-Aug-2021,23:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",02-Aug-2021,23:00,03-Aug-2021,00:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,00:00,03-Aug-2021,01:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,01:00,03-Aug-2021,02:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,02:00,03-Aug-2021,03:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,03:00,03-Aug-2021,04:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,04:00,03-Aug-2021,05:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,05:00,03-Aug-2021,06:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,06:00,03-Aug-2021,07:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,07:00,03-Aug-2021,08:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,08:00,03-Aug-2021,09:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,09:00,03-Aug-2021,10:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,10:00,03-Aug-2021,11:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,11:00,03-Aug-2021,12:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,12:00,03-Aug-2021,13:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,13:00,03-Aug-2021,14:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,14:00,03-Aug-2021,15:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,15:00,03-Aug-2021,16:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,16:00,03-Aug-2021,17:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,17:00,03-Aug-2021,18:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,18:00,03-Aug-2021,19:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,19:00,03-Aug-2021,20:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,20:00,03-Aug-2021,21:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,21:00,03-Aug-2021,22:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,22:00,03-Aug-2021,23:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",03-Aug-2021,23:00,04-Aug-2021,00:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,00:00,04-Aug-2021,01:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,01:00,04-Aug-2021,02:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,02:00,04-Aug-2021,03:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,03:00,04-Aug-2021,04:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,04:00,04-Aug-2021,05:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,05:00,04-Aug-2021,06:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,06:00,04-Aug-2021,07:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,07:00,04-Aug-2021,08:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,08:00,04-Aug-2021,09:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,09:00,04-Aug-2021,10:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,10:00,04-Aug-2021,11:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,11:00,04-Aug-2021,12:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,12:00,04-Aug-2021,13:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,13:00,04-Aug-2021,14:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,14:00,04-Aug-2021,15:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,15:00,04-Aug-2021,16:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,16:00,04-Aug-2021,17:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,17:00,04-Aug-2021,18:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,18:00,04-Aug-2021,19:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,19:00,04-Aug-2021,20:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,20:00,04-Aug-2021,21:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,21:00,04-Aug-2021,22:00,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, Delhi - IMD",04-Aug-2021,22:00,04-Aug-2021,23:00,,,,,,,,,,,,,,,,,,,,
